"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"34",5,"Sinn Féin","Mr. Fionán Lynch","Fionán Lynch",NA,"Lynch",1,2,"Deputy Fionán Lynch",NA
"35",6,"Sinn Féin","Professor Michael Hayes","Michael Hayes",NA,"Hayes",1,2,"Deputy Michael Hayes",NA
"36",6,"Sinn Féin","Mr. Gearóid O'Sullivan","Gearóid O'Sullivan",NA,"O'Sullivan",1,2,"Deputy Gearóid O'Sullivan",NA
"37",6,"Independent","Mr. Alfred Byrne","Alfred Byrne",NA,"Byrne",1,2,"Deputy Alfred Byrne",NA
"38",6,"The Labour Party","Mr. Patrick Hogan","Patrick Hogan",NA,"Hogan",1,2,"Deputy Patrick Hogan",NA
"39",6,"Fianna Fáil","Mr. Matthew O'Reilly","Matthew O'Reilly",NA,"O'Reilly",1,2,"Deputy Matthew O'Reilly",NA
"40",6,"Fianna Fáil","Mr. Tadhg Crowley","Tadhg Crowley",NA,"Crowley",1,2,"Deputy Tadhg Crowley",NA
"41",6,"Cumann na nGaedhael","Mr. George Wolfe","George Wolfe",NA,"Wolfe",1,2,"Deputy George Wolfe",NA
"42",6,"Cumann na nGaedhael","Mr. Thomas Hennessy","Thomas Hennessy",NA,"Hennessy",1,2,"Deputy Thomas Hennessy",NA
"43",6,"Fianna Fáil","Mr. Daniel Bourke","Daniel Bourke",NA,"Bourke",1,2,"Deputy Daniel Bourke",NA
"44",6,"Fianna Fáil","Mr. Seán Hayes","Seán Hayes",NA,"Hayes",1,2,"Deputy Seán Hayes",NA
"45",6,"Fianna Fáil","Mr. Gerald Boland","Gerald Boland",NA,"Boland",1,2,"Deputy Gerald Boland",NA
"46",6,"Fianna Fáil","Mr. Timothy (Tipperary) Sheehy","Timothy Sheehy",NA,"Sheehy",1,2,"Deputy Timothy Sheehy",NA
"47",6,"Cumann na nGaedhael","Mr. Timothy (Cork) Sheehy","Timothy Sheehy","Cork","Sheehy",1,2,"Deputy Timothy Sheehy",NA
"48",6,"Fianna Fáil","Mr. Patrick Boland","Patrick Boland",NA,"Boland",1,2,"Deputy Patrick Boland",NA
"49",6,"Fianna Fáil","Mr. Stephen Jordan","Stephen Jordan",NA,"Jordan",1,2,"Deputy Stephen Jordan",NA
"50",6,"Farmers Party","Mr. John White","John White",NA,"White",1,2,"Deputy John White",NA
"51",6,"Sinn Féin","Mr. James Crowley","James Crowley",NA,"Crowley",1,2,"Deputy James Crowley",NA
"52",6,"Fine Gael","Mr. Sean Broderick","Sean Broderick",NA,"Broderick",1,2,"Deputy Sean Broderick",NA
"53",6,"Fianna Fáil","Mr. Thomas (Kerry) O'Reilly","Thomas O'Reilly","Kerry","O'Reilly",1,2,"Deputy Thomas O'Reilly",NA
"54",6,"Farmers Party","Mr. Michael Jordan","Michael Jordan",NA,"Jordan",1,2,"Deputy Michael Jordan",NA
"55",6,"Fianna Fáil","Mr. William O'Leary","William O'Leary",NA,"O'Leary",1,2,"Deputy William O'Leary",NA
"56",6,"The Labour Party","Mr. Edward Doyle","Edward Doyle",NA,"Doyle",1,2,"Deputy Edward Doyle",NA
"57",6,"The Labour Party","Mr. Henry Broderick","Henry Broderick",NA,"Broderick",1,2,"Deputy Henry Broderick",NA
"58",6,"Cumann na nGaedhael","Mr. Richard O'Connell","Richard O'Connell",NA,"O'Connell",1,2,"Deputy Richard O'Connell",NA
"59",6,"Cumann na nGaedhael","Mr. Daniel O'Leary","Daniel O'Leary",NA,"O'Leary",1,2,"Deputy Daniel O'Leary",NA
"60",7,"Fianna Fáil","Mr. John Flynn","John Flynn",NA,"Flynn",1,2,"Deputy John Flynn",NA
"61",7,"Sinn Féin","Dr. James Ryan","James Ryan",NA,"Ryan",1,2,"Deputy James Ryan",NA
"62",7,"The Labour Party","Mr. Patrick Hogan","Patrick Hogan",NA,"Hogan",1,2,"Deputy Patrick Hogan",NA
"63",7,"Fine Gael","Mr. Sean Broderick","Sean Broderick",NA,"Broderick",1,2,"Deputy Sean Broderick",NA
"64",7,"Fianna Fáil","Mr. Tadhg Crowley","Tadhg Crowley",NA,"Crowley",1,2,"Deputy Tadhg Crowley",NA
"65",7,"Fianna Fáil","Mr. Matthew O'Reilly","Matthew O'Reilly",NA,"O'Reilly",1,2,"Deputy Matthew O'Reilly",NA
"66",7,"Independent","Mr. Alfred Byrne","Alfred Byrne",NA,"Byrne",1,2,"Deputy Alfred Byrne",NA
"67",7,"Sinn Féin","Mr. Gearóid O'Sullivan","Gearóid O'Sullivan",NA,"O'Sullivan",1,2,"Deputy Gearóid O'Sullivan",NA
"68",7,"Fianna Fáil","Mr. Stephen Flynn","Stephen Flynn",NA,"Flynn",1,2,"Deputy Stephen Flynn",NA
"69",7,"Fianna Fáil","Mr. Brian Brady","Brian Brady",NA,"Brady",1,2,"Deputy Brian Brady",NA
"70",7,"Fianna Fáil","Mr. Thomas (Kerry) O'Reilly","Thomas O'Reilly","Kerry","O'Reilly",1,2,"Deputy Thomas O'Reilly",NA
"71",7,"Fianna Fáil","Mr. Daniel Bourke","Daniel Bourke",NA,"Bourke",1,2,"Deputy Daniel Bourke",NA
"72",7,"Fianna Fáil","Mr. Sean Brady","Sean Brady",NA,"Brady",1,2,"Deputy Sean Brady",NA
"73",7,"Fianna Fáil","Mr. Robert Ryan","Robert Ryan",NA,"Ryan",1,2,"Deputy Robert Ryan",NA
"74",8,"Sinn Féin","Dr. James Ryan","James Ryan",NA,"Ryan",1,2,"Deputy James Ryan",NA
